address,token_id,balance
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,18,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,20,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,21,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,22,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,23,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,24,16
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,25,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,31,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,33,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,34,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,35,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,38,5
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,39,1
0x06e4f4fdbd114c9e1fb4b67c10ea330f6efd721a,39,1
0x0725cf86d60e18993f6c4221c3a449968118f2ba,30,1
0x0743882fa09a0c257b18d53dc1b101d3f32a04e5,34,1
0x077bfc14dd6725f260e1abfd5c942ee13a27091b,24,1
0x077bfc14dd6725f260e1abfd5c942ee13a27091b,39,1
0x07b7b8a6977cb5e9823167831e8cf3397fc59283,24,1
0x07b7b8a6977cb5e9823167831e8cf3397fc59283,39,1
0x07f7ca325221752380d6cdfbcff9b5e5e9ec058f,24,9
0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,16,1
0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,17,1
0x0851ced43aab7bc38b0fa4fbc4e3849634d2ca67,24,1
0x087e14b18e87367a7cc58f04989d749b8a0e71a1,24,2
0x088bb97ec41e98254bf209e19616a003140322a6,18,1
0x08b367282290b4427d0f61376ac668556bc9f390,24,1
0x08fc6e516e01e834021ad49b31a7fc289b53f045,24,1
0x0945c91d5ddc3cdfdf7fdd45ded0746d0f31296e,34,1
0x0945c91d5ddc3cdfdf7fdd45ded0746d0f31296e,35,1
0x0945c91d5ddc3cdfdf7fdd45ded0746d0f31296e,39,1
0x0945c91d5ddc3cdfdf7fdd45ded0746d0f31296e,40,1
0x0945c91d5ddc3cdfdf7fdd45ded0746d0f31296e,42,1
0x0970b838d4d209b21de42ca52f7e0fe79811de26,17,1
0x0970b838d4d209b21de42ca52f7e0fe79811de26,24,1
0x097cf6c60650ea25a3443b9fac9ab4b60cdda24c,24,9
0x09b2f0988b6d24336b348c84c2764d2b4f85142f,39,1
0x09e3ab684e211596e63fc839be72909b33d1c852,2,1
0x09e3ab684e211596e63fc839be72909b33d1c852,4,1
0x09e3ab684e211596e63fc839be72909b33d1c852,5,1
0x09e3ab684e211596e63fc839be72909b33d1c852,8,1
0x09e3ab684e211596e63fc839be72909b33d1c852,13,1
0x09e3ab684e211596e63fc839be72909b33d1c852,14,1
0x09e3ab684e211596e63fc839be72909b33d1c852,15,1
0x09e3ab684e211596e63fc839be72909b33d1c852,16,1
0x09e3ab684e211596e63fc839be72909b33d1c852,17,1
0x09e3ab684e211596e63fc839be72909b33d1c852,18,1
0x09e3ab684e211596e63fc839be72909b33d1c852,20,1
0x09e3ab684e211596e63fc839be72909b33d1c852,25,1
0x09e3ab684e211596e63fc839be72909b33d1c852,31,1
0x0a3b151beeb0acb8a16cdad2e186bc6685b821b0,24,5
0x0a5652fa3e6a14fe69775c3a38c94559b65c7e01,24,1
0x0a7669015fef82f5136c9a2e44e1ecbd2a5aec19,24,1
0x0a93a0d1770e117d59af79ee6685e2b82b705647,24,1
0x0a93a0d1770e117d59af79ee6685e2b82b705647,38,1
